타임스탬프,사용자ID,화면,이벤트,대상,값,행동,체류시간(ms),브라우저
2026. 2. 4 오후 12:06:51,,login,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",session_1770173895969_igft3j693
2026. 2. 4 오후 12:06:57,session_1770173895969_igft3j693,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:06:57,session_1770173895969_igft3j693,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:01,session_1770173895969_igft3j693,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:09,,login,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:10,session_1770173895969_igft3j693,메인 미션 화면,버튼 클릭,미션 2,,미션 2 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:11,session_1770173895969_igft3j693,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:11,session_1770173895969_igft3j693,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:11,session_1770173895969_igft3j693,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:12,session_1770173895969_igft3j693,메인 미션 화면,미션 시작,미션 2,,미션 2 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:14,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
