타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오전 1:12:09,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,미션 1-1,,미션 1-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:14,session_1770302915208_te36vyjba,편집1-1_미션설명,화면 진입,,,편집1-1_미션설명 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:14,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 1-1,,미션 1-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:16,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상추가,"{""currentCut"":1,""hasVideo"":false,""isPlaying"":false}",영상추가 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:18,session_1770302915208_te36vyjba,편집1-1_화면,미션 시작,편집1-1_미션시작,,편집1-1_미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:18,session_1770302915208_te36vyjba,편집1-1_화면,화면 진입,,,편집1-1_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:18,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,재생,"{""currentCut"":1,""hasVideo"":true,""hasUploaded"":true,""isPlaying"":false,""expected"":true}",재생 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:20,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상업로드완료,"{""currentCut"":1,""fileName"":""20260202_180706.mp4"",""fileSize"":263689316}",영상업로드완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:21,session_1770302915208_te36vyjba,편집1-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:12:23,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
